ISBN,TITLE,ANALYZE,$ USED,$ NEW,$ AMAZON,$ TRADE-IN,# USED,# NEW,RANK,AVG. RANK,PUB DATE
1108446566,Prescriber's Guide Children and Adolesc…,,51.24,54.12,54.99,No Value,8,16,"50,292","63,503",2018
1387894897,The Complete Personal Memoirs of Ulysses…,,36.98,44.98,44.98,No Value,5,6,"55,507","63,680",2018
847838021,Dior: Couture,,129.39,84.8,91.65,No Value,4,19,"84,126","63,681",2011
997517883,"The Complete Guide to ACT English, 3rd E…",,15.27,30.32,31.95,No Value,32,5,"68,529","63,688",2017
1770856927,Encyclopedia of Exercise Anatomy (Anatom…,,14.85,22.97,35,No Value,53,18,"83,497","63,699",2016
307351416,Bobby Flay's Mesa Grill Cookbook: Explos…,,7.76,18.99,35,No Value,72,17,"19,708","63,699",2007
310453356,"NIV, Artisan Collection Bible, Cloth ove…",,23.98,31.21,32.3,No Value,7,9,"36,463","63,746",2019
321992784,Programming: Principles and Practice Usi…,,47.97,54.8,54.8,No Value,34,25,"41,916","63,800",2014
323400698,Clinical Nursing Skills and Techniques,,38.14,82.83,92.98,No Value,32,11,"57,064","63,844",2017
1496377559,Porth's Pathophysiology: Concepts of Alt…,,70.75,73.99,107.98,No Value,34,19,"100,630","63,924",2018
1790455383,No-Nonsense Quantum Mechanics: A Student…,,31.99,32.29,32.29,No Value,5,5,"87,096","63,960",2018
323594379,Study Guide for Pharmacology and the Nur…,,28.84,33.91,42.95,No Value,24,32,"80,423","64,029",2019
066423707X,"Women's Bible Commentary, Third Edition:…",,31.27,35.07,35.07,No Value,21,19,"67,720","64,080",2012
3836569507,The NASA Archives. 60 Years in Space,,88.68,95.66,97.22,No Value,4,19,"31,053","64,187",2019
3836573857,Walter Chandoha. Cats. Photographs 19422…,,29.84,33.89,34.11,No Value,13,33,"67,214","64,211",2019
596009763,SQL Cookbook: Query Solutions and Techni…,,17.19,48.57,49.99,No Value,34,13,"81,856","64,224",2006
847859967,Victoria Hagan: Dream Spaces,,31.93,38.49,38.49,No Value,17,25,"63,151","64,282",2017
1543804845,Glannon Guide to Civil Procedure: Learni…,,41.25,48,52.95,No Value,9,16,"69,276","64,293",2018
375812563,The American Story: 100 True Tales from …,,13.18,33.04,34.99,No Value,33,11,"32,932","64,300",2006
323477313,Musculoskeletal Anatomy Coloring Book,,27.94,36.05,37.95,No Value,12,23,"67,527","64,331",2017
754831760,The Illustrated World Encyclopedia of Gu…,,33.73,33.06,35,No Value,9,22,"26,573","64,383",2016
1118766571,About Face: The Essentials of Interactio…,,32.07,40.94,45.9,No Value,21,18,"50,616","64,431",2014
1480332771,Complete Piano Sonatas,,36.85,31.83,32.09,No Value,15,19,"35,964","64,468",2015
634060422,Earl Scruggs and the 5-String Banjo: Rev…,,14.95,27.91,33.99,No Value,26,23,"48,415","64,498",2005
1284144186,Legal and Ethical Issues for Health Prof…,,55,74.97,109.94,No Value,28,29,"78,015","64,536",2019
1493825925,180 Days of Practice for Third Grade (Se…,,48.19,42.76,42.76,No Value,14,21,"80,424","64,655",2015
1493927116,Understanding Analysis (Undergraduate Te…,,32.46,36.33,57.99,No Value,8,12,"47,711","64,668",2015
1138556378,Mixing Secrets for the Small Studio (Sou…,,52.25,50.06,50.06,No Value,7,26,"82,937","64,672",2018
1617957232,The Jeremiah Study Bible Purple/Gray Bur…,,68.62,53.99,53.99,No Value,8,24,"57,781","64,680",2015
1433616580,"NIV Rainbow Study Bible, Purple LeatherT…",,50.7,47.49,47.49,No Value,9,18,"35,902","64,741",2015
1784880434,The Maverick Soul: Portraits of the Live…,,32.85,29.98,31.79,No Value,21,37,"112,762","64,742",2017
